date,composer,composer_id,composer_gender,nationality,work,soloist,instrument,conductor,orchestra,venue,,,
4/9/2015,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 27 in B-flat major, K. 595,Richard Stephen Goode , Piano,nan,nan,nan,,
4/9/2015,Richard Strauss ,3,m,3, Heldenleben, Ein [A Hero's Life], Op. 40,nan,nan,nan,nan,nan,
4/10/2015,Gunther Schuller ,18,m,18, Dreamscape,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
4/10/2015,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 27 in B-flat major, K. 595,Richard Stephen Goode , Piano,nan,nan,nan,,
4/10/2015,Richard Strauss ,3,m,3, Heldenleben, Ein [A Hero's Life], Op. 40,nan,nan,nan,nan,nan,
4/11/2015,Gunther Schuller ,18,m,18, Dreamscape,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
4/11/2015,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 27 in B-flat major, K. 595,Richard Stephen Goode , Piano,nan,nan,nan,,
4/11/2015,Richard Strauss ,3,m,3, Heldenleben, Ein [A Hero's Life], Op. 40,nan,nan,nan,nan,nan,
4/12/2015,Richard Wagner ,14,m,14, Tristan und Isolde: Act 3: Prelude and Liebestod,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
4/12/2015,Giuseppe Verdi ,51,m,51, Nabucco: Act 3: Va pensiero,Tanglewood Festival Chorus , SATB Chorus,nan,nan,nan,,,
4/12/2015,Franz Joseph Haydn ,11,m,11, Symphony No. 90 in C major,nan,nan,nan,nan,nan,,,
4/12/2015,Eriks Ešenvalds ,45,m,45, Lakes Awake at Dawn, for chorus and orchestra,Tanglewood Festival Chorus , SATB Chorus,nan,nan,nan,,
4/12/2015,Leonard Bernstein ,7,m,7, Candide: Overture,nan,nan,nan,nan,nan,,,
4/14/2015,Gunther Schuller ,18,m,18, Dreamscape,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
4/14/2015,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 27 in B-flat major, K. 595,Richard Stephen Goode , Piano,nan,nan,nan,,
4/14/2015,Richard Strauss ,3,m,3, Heldenleben, Ein [A Hero's Life], Op. 40,nan,nan,nan,nan,nan,
4/15/2015,Gunther Schuller ,18,m,18, Dreamscape,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Carnegie Hall,,,
4/15/2015,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 27 in B-flat major, K. 595,nan,nan,nan,nan,nan,,
4/15/2015,Richard Strauss ,3,m,3, Heldenleben, Ein [A Hero's Life], Op. 40,nan,nan,nan,nan,nan,
4/16/2015,Dmitri Shostakovich ,1,m,1, Lady Macbeth of Mtsensk: Five Interludes, op. 29,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Carnegie Hall,,
4/16/2015,Ludwig van Beethoven ,5,m,5, Concerto for Violin in D major, Op. 61,Christian Tetzlaff , Violin,nan,nan,nan,,
4/16/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 10 in E minor, Op. 93,nan,nan,nan,nan,nan,,
4/17/2015,Gustav Mahler ,2,m,2, Symphony No. 6 in A minor,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Carnegie Hall,,,
8/1/2015,Ludwig van Beethoven ,5,m,5, Concerto for Piano, Violin and Cello in C major, Op. 56," ""Triple""",Renaud Capuçon , Violin Gautier Capuçon ,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed
8/1/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 10 in E minor, Op. 93,nan,nan,nan,nan,nan,,
8/2/2015,Franz Joseph Haydn ,11,m,11, Symphony No. 90 in C major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,,
8/2/2015,Brett Dean ,23,m,23, Dramatis personae (for trumpet and orchestra),Håkan Hardenberger , Trumpet,nan,nan,nan,,,
8/2/2015,Richard Strauss ,3,m,3, Don Quixote, Op. 35,Steven Ansell , Viola Yo-Yo Ma ,nan,nan,nan,,
8/4/2015,Hector Berlioz ,20,m,20, Roman Carnival Overture, Op. 9,Andris Nelsons , Conductor BSO Boston Symphony Orchestra ,Andris Nelsons,BSO; Boston Pops; TMCO,Tanglewood - Shed,,
8/4/2015,Maurice Ravel ,13,m,13, Pavane pour une infante d�funte [Pavane for a Dead Princess],Andris Nelsons , Conductor BSO Boston Symphony Orchestra ,nan,nan,nan,,,
8/4/2015,Dmitri Shostakovich ,1,m,1, Gadfly, The: Film Score, Op. 97: Romance,Andris Nelsons , Conductor BSO Boston Symphony Orchestra ,nan,nan,nan,
8/4/2015,Dmitri Shostakovich ,1,m,1, Moscow, Cheryomushki: Galop,Andris Nelsons , Conductor BSO Boston Symphony Orchestra ,nan,nan,nan,,
8/4/2015,John Williams ,25,m,25, Sound the Bells,Stephane Denève , Conductor Tanglewood Music Center Orchestra ,nan,nan,nan,,,
8/4/2015,John Williams ,25,m,25, Concerto for Violin: (2) Slowly (in peaceful Contemplation),Stephane Denève , Conductor Tanglewood Music Center Orchestra ,nan,nan,nan,,,
8/4/2015,John Williams ,25,m,25, Just Down West Street... on the left,Stephane Denève , Conductor Tanglewood Music Center Orchestra ,nan,nan,nan,,,
8/4/2015,Dmitri Kabalevsky ,85,m,85, Colas Breugnon: Overture,Keith Lockhart , Conductor BPO Boston Pops Orchestra ,nan,nan,nan,,,
8/4/2015,Fred Fisher ,84,m,84, Chicago,Keith Lockhart , Conductor BPO Boston Pops Orchestra ,nan,nan,nan,,,
8/4/2015,Josef Myrow ,83,m,83, You Make Me Feel So Young,Keith Lockhart , Conductor BPO Boston Pops Orchestra ,nan,nan,nan,,,
8/4/2015,David Mann ,71,m,71, In the Wee Small Hours of the Morning,Keith Lockhart , Conductor BPO Boston Pops Orchestra ,nan,nan,nan,,,
8/4/2015,John Kander ,81,m,81, New York, New York,Keith Lockhart , Conductor BPO Boston Pops Orchestra ,nan,nan,nan,,
8/4/2015,John Williams ,25,m,25, Star Wars: Throne Room and Finale,Andris Nelsons , Conductor BSO Boston Symphony Orchestra ,nan,nan,nan,,,
8/4/2015,Pyotr Ilyich Tchaikovsky ,4,m,4, Overture 1812, Op. 49,Andris Nelsons , Conductor BSO Boston Symphony Orchestra ,nan,nan,nan,,
